year,Initial Alarm_mean_response_time,Initial Alarm_stddev_response_time,Standard Alarm_mean_response_time,Standard Alarm_stddev_response_time,Critical Alarm_mean_response_time,Critical Alarm_stddev_response_time
2013,299.72903225806454,99.22535294805924,273.01481207426764,92.26483102637589,215.78558875219684,67.47534304986657
2014,303.8989280245023,104.40898030131682,276.5347056532113,93.14358650002704,217.457216940363,72.23391849827686
2015,294.0458265139116,100.0388835621267,280.4550368408679,94.3037457443806,217.6880033912675,72.50264646831336
2016,300.47596153846155,100.31220852815522,282.9502628021548,94.7439340242356,214.61024390243904,69.5394231625585
2017,293.8666666666667,103.00084940706824,285.8819011385752,95.02638264383219,216.31708623460096,70.36783726539387
2018,200.16666666666666,85.89625525403693,298.1107858042272,95.86270726166647,235.4562002275313,71.32892588062525
2019,,,301.4113645566814,95.21974879106769,234.92844777841893,72.39105507056061
2020,,,303.7923379724778,95.28053319672989,227.35135135135135,66.59304517574228
2021,361.70764617691157,108.33359291113783,314.1698084261798,97.66655584472701,234.28899521531102,72.23724094180653
2022,362.1702567637429,111.03268247098543,321.9034165995165,99.23166664729577,229.96310572687224,69.79243736246625
2023,368.37295044841017,111.98924829769113,326.19236991393507,100.58508334605811,232.90887986070805,71.8915765377537
